Country,Total Fertility Rate (live births per woman),Teen Births per capita,female_workforce_participation,SSA,female_workforce_participation_log,GDP Per Capita,GDP Per Capita_log,Teen Birth Log,East Asian-Buddhist-Hindu,European-Western,Non-SSA-Non-European-Muslim,Latin American
Burundi,4.878,0.002985365,80.138,1,4.383750149,192.0743054,5.257882304,-5.814033381,0,0,0,0
Comoros,3.878,0.00272229,41.143,1,3.717053803,1682.202851,7.427859434,-5.906281852,0,0,0,0
Djibouti,2.609,0.000947141,18.669,1,2.926864394,3397.520158,8.130801079,-6.962063073,0,0,0,0
Kenya,3.208,0.003228284,62.434,1,4.134109999,1952.304579,7.576765789,-5.735804653,0,0,0,0
Madagascar,3.972,0.006869742,82.561,1,4.413537414,508.7184277,6.231894676,-4.980628748,0,0,0,0
Malawi,3.648,0.006765293,63.482,1,4.150756401,602.3436198,6.400828079,-4.995949738,0,0,0,0
Mauritius,1.241,0.000697243,42.725,1,3.754784229,11182.18657,9.322077306,-7.268376929,0,0,0,0
Mozambique,4.763,0.008305535,78.214,1,4.35944866,622.9856193,6.434523436,-4.790833114,0,0,0,0
Rwanda,3.698,0.00175356,58.044,1,4.061201344,1027.034468,6.934430771,-6.34610736,0,0,0,0
Uganda,4.283,0.006271914,76.448,1,4.336610771,1002.309139,6.910061756,-5.071673763,0,0,0,0
Zambia,4.101,0.006524813,53.931,1,3.987705452,1330.727806,7.193481294,-5.032142957,0,0,0,0
Zimbabwe,3.724,0.005538338,59.677,1,4.088946687,2156.034093,7.676025745,-5.196060773,0,0,0,0
Angola,5.124,0.007378359,73.224,1,4.293523236,2309.53413,7.744801108,-4.909204022,0,0,0,0
Cameroon,4.322,0.00572607,57.148,1,4.045644394,1736.860911,7.459834689,-5.162725797,0,0,0,0
Central African Republic,6.012,0.010217527,65.845,1,4.187303495,495.9788973,6.20653338,-4.583650713,0,0,0,0
Chad,6.12,0.007164943,48.702,1,3.885720097,989.058529,6.89675351,-4.938555118,0,0,0,0
Equatorial Guinea,4.081,0.006945959,52.997,1,3.970235308,6677.793435,8.806542888,-4.969595197,0,0,0,0
Gabon,3.647,0.004208003,41.863,1,3.734402382,8071.397774,8.996081952,-5.470767049,0,0,0,0
Sao Tome and Principe,3.644,0.005046108,23.113,1,3.14039523,2940.933529,7.986482337,-5.289138026,0,0,0,0
Algeria,2.766,0.000319382,14.132,0,2.648441729,5364.02795,8.587470455,-8.049124076,0,0,1,0
Libya,2.355,0.000262536,33.149,0,3.50101255,6172.812469,8.727909843,-8.245121556,0,0,1,0
Morocco,2.23,0.001019423,19.709,0,2.981075384,3771.446289,8.235213838,-6.888518368,0,0,1,0
Tunisia,1.832,0.00014688,26.781,0,3.287692681,3950.375342,8.281565877,-8.825894243,0,0,1,0
Botswana,2.732,0.002672721,63.426,1,4.149873872,7826.353765,8.965252006,-5.924658258,0,0,0,0
Eswatini,2.753,0.003608272,44.886,1,3.804125942,3741.690107,8.227292689,-5.624526369,0,0,0,0
Lesotho,2.694,0.003640537,49.096,1,3.893777565,916.2829705,6.820325237,-5.615624002,0,0,0,0
Namibia,3.212,0.003051877,55.408,1,4.014723988,4187.605004,8.339884251,-5.791998631,0,0,0,0
South Africa,2.216,0.00211563,52.929,1,3.968951393,6022.542542,8.703264798,-6.158402758,0,0,0,0
Benin,4.556,0.004064479,74.183,1,4.306535013,1394.177847,7.240060164,-5.505469735,0,0,0,0
Burkina Faso,4.186,0.004845092,41.294,1,3.720717211,882.6898101,6.782973848,-5.329789073,0,0,0,0
Cabo Verde,1.522,0.001692413,50.419,1,3.920368088,4861.291841,8.489059492,-6.381599703,0,0,0,0
Ghana,3.397,0.002941259,61.815,1,4.124146053,2383.904105,7.776494803,-5.82891762,0,0,0,0
Guinea,4.217,0.006335719,42.094,1,3.739905213,1555.493758,7.349548303,-5.061551946,0,0,0,0
Guinea-Bissau,3.836,0.004423827,56.485,1,4.033975116,964.9275542,6.872053025,-5.420750037,0,0,0,0
Liberia,3.95,0.007070777,72.09,1,4.277915338,799.1944702,6.683604308,-4.951784833,0,0,0,0
Mali,5.614,0.007717448,58.03,1,4.060960118,1035.862426,6.942989621,-4.864271548,0,0,0,0
Mauritania,4.697,0.004802247,26.188,1,3.265301291,2120.823184,7.659559587,-5.338671438,0,0,0,0
Niger,6.061,0.008053902,60.408,1,4.101121547,638.3360807,6.458864917,-4.821598609,0,0,0,0
Nigeria,4.482,0.004707075,80.768,1,4.391580847,1596.636961,7.375654797,-5.358688689,0,0,0,0
